덱 종류,조건,효과1,조건,효과2,조건,효과3,조건,효과4,실제 덱 이름
무녀 1U,상시,공속 18%,상시,체력 40%,상시,속성피해량 5%,-,-,잘못된 정화의 의식
던데블 1U,상시,공속 18%,상시,스킬데미지 100%,상시,크리티컬데미지 100%,-,-,종극의 악마
머시풀 1U 아구몬쪽,상시,공속 22%,일반공격시 10% / 10초간,크리티컬데미지 125%,일반공격시 20% / 7초간,공격력 30% 추가피해,-,-,하얀 날개: 용기의 우령도
머시풀 1U 파피몬쪽,상시,스킬데미지 25%,일반공격시 10% / 10초간,크리티컬데미지 125%,일반공격시 20% / 10초간,스킬데미지 25%,-,-,하얀 날개: 우정의 아류류포
슈페리올 1U,상시,공속 18%,상시,스킬데미지 70%,상시,체력 40%,-,-,내가! 미래의! 디지몬 킹이다!
듀크몬 1U,상시,공속 20%,상시,스킬 데미지 80%,일반 공격 시 20% / 10초 간,스킬 데미지 50%,-,-,빛의 신창과 신검
디지털월드의 수호자 4U,상시,공속 22%,상시,체력 40%,상시,스킬 데미지 70%,상시,크리티컬데미지 150%,디지털 월드 수호자
에오스몬 1U,상시,공속 19%,상시,스킬데미지 35%,스킬 공격 시 10%,쿨타임 초기화,-,-,거짓된 네버랜드의 여신
블룸로드몬 1U,상시,공속 18%,상시,스킬 데미지 80%,상시,크리티컬데미지 125%,-,-,파멸의 칠흑룡을 저지하라!
지드밀레니엄몬 1U,상시,공속 17%,상시,스킬 데미지 80%,상시,크리티컬데미지 125%,-,-,"종결, 궁극의 성전!"
황제드라몬 팔라딘모드 1U,상시,공속 17%,상시,적중도 10%,상시,크리티컬데미지 130%,-,-,강림! 고대의 용전사
황제드라몬 팔라딘모드 1U,상시,공속 18%,상시,속성피해량 5%,상시,공격력 30%,-,-,디아블로몬을 저지하라!
머시풀 1U - 혼자,상시,공속 20%,상시,크리티컬데미지 125%,일반 공격 시 20% / 10초 간,스킬 데미지 30%,-,-,하얀 날개: 슬픔의 결의
어둠이 드리운 정의 4U,상시,공속 22%,상시,속성피해량 5%,상시,크리티컬데미지 100%,상시,공격력 15%,어둠이 드리운 정의
평화를 수호하는 구원자 4U,상시,공속 22%,상시,체력 50%,상시,스킬데미지 80%,상시,공격력 45%,평화를 수호하는 구원자
알파몬 1U,상시,공속 20%,일반공격시 20% / 10초간,공속 10%,상시,적중도 7%,-,-,재회
루체몬 1U,상시,공속 18%,상시,속성피해량 7%,상시,적중도 10%,-,-,현실세계 침공!
라스트 에볼루션: 인연 2U,상시,공속 18%,상시,스킬데미지 130%,상시,공격력 45%,-,-,라스트 에볼루션: 인연
"우리들의 희망, 우리들의 빛 3U",상시,공속 19%,상시,체력 45%,상시,스킬데미지 200%,-,-,"우리들의 희망, 우리들의 빛"
스사노오몬 1U,상시,공속 17%,상시,크리티컬데미지 70%,상시,스킬데미지 70%,-,-,"시간을 뛰어 넘어, 전설의 시작!"
디지털월드 수호자 5U,상시,공속 23%,상시,체력 50%,상시,스킬데미지 90%,상시,크리티컬데미지 170%,디지털 월드 수호자
평화를 수호하는 구원자 5U,상시,공속 23%,상시,체력 60%,상시,스킬데미지 100%,상시,공격력 60%,평화를 수호하는 구원자
매혹적인 날개와 정의의 날개 2U,상시,공속 20%,상시,체력 30%,상시,속성피해량 7%,-,-,매혹적인 날개와 정의의 날개
바이러스 5U,상시,공속 25%,상시,체력 35%,상시,속성피해량 8%,상시,스킬데미지 170%,이상 상태 발생: 바이러스
백신 5U,상시,공속 25%,상시,체력 35%,상시,속성피해량 8%,상시,스킬데미지 170%,바이러스에 대항하라!
아바도몬 1U,상시,공속 18%,상시,스킬데미지 85%,일반공격시 20% / 10초간,스킬데미지 75%,-,-,거대한 파멸의 위기
아바도 아바코 2U,상시,공속 18%,상시,스킬데미지 180%,상시,크리티컬 피해량 180%,-,-,심연의 공포
데이터 언노운 6U,상시,공속 25%,상시,속성피해량 12%,상시,최종 데미지 25%,상시,스킬데미지 100%,"온전한 데이터, 그리고 정체 불명의 데이터"
아바도몬 코어 1U,상시,공속 18%,상시,스킬데미지 85%,일반공격시 20% / 10초간,스킬데미지 75%,-,-,진정한 모습의 파멸자
오메가몬 X 극의 1U,상시,공속 18%,상시,속성피해량 4%,상시,공격력 15%,-,-,정의를 지키는 날개
오메가몬 X 극의 리리스몬X각성 2U,상시,공속 20%,상시,스킬데미지 150%,상시,속성피해량 3%,-,-,정의를 유혹하는 날개짓
무력화 시키는 자들 5U,상시,공속 25%,상시,적중도 20%,상시,속성피해량 10%,상시,스킬데미지 140%,무력화 시키는 자들
퀀텀몬 1U,상시,공속 18%,상시,스킬데미지 180%,상시,크리티컬데미지 200%,-,-,라크에 진좌하는 자
블룸로드 퀀텀몬 2U,상시,공속 19%,상시,체력 45%,상시,스킬데미지 200%,-,-,디지몬을 인간 세계로 보내는 존재
데이터 3U,상시,공속 22%,상시,속성 피해량 5%,상시,크리티컬데미지 100%,상시,공격력 15%,중립 성향의 디지몬
아폴로몬 1U,상시,공속 16%,상시,스킬데미지 165%,상시,크리티컬데미지 200%,상시,체력 20%,광채와 함께 내려온 자
절망에 맞서는 광채 6U,상시,공속 25%,상시,속성피해량 12%,상시,최종 데미지 25%,상시,스킬데미지 100%,절망에 맞서는 광채
