덱 종류,실제 덱 이름,구성 디지몬
데이터 언노운 6U,"온전한 데이터, 그리고 정체 불명의 데이터",아바도몬/아바도몬 코어/에오스몬 궁극체/라스트 에볼루션: 인연/쿠즈하몬 무녀모드/샤우트몬X7 슈페리올 모드
절망에 맞서는 광채 6U,절망에 맞서는 광채,아바도몬/오메가몬 머시풀 모드/루체몬 사탄모드 극의/스사노오몬 극의/아바도몬 코어/아폴로몬
무력화 시키는 자들 5U,무력화 시키는 자들,지드밀레니엄몬 각성/알파몬 왕룡검 극의/루체몬 사탄모드 극의/오메가몬X 극의/홀리드라몬 각성
바이러스 5U,이상 상태 발생: 바이러스,듀크몬 크림존모드 각성/지드밀레니엄몬 각성/루체몬 사탄모드 극의/리리스몬 X 각성/던데블몬
백신 5U,바이러스에 대항하라!,오메가몬 머시풀 모드/블룸로드몬/황제드라몬 팔라딘모드 각성/알파몬 왕룡검 극의/갓드라몬
오메가몬 X 극의 리리스몬X각성 2U,정의를 유혹하는 날개짓,오메가몬X 극의/리리스몬 X 각성
"우리들의 희망, 우리들의 빛 3U","우리들의 희망, 우리들의 빛",지드밀레니엄몬 각성/갓드라몬/홀리드라몬 각성
블룸로드 퀀텀몬 2U,디지몬을 인간 세계로 보내는 존재,퀀텀몬/블룸로드몬
아바도 아바코 2U,심연의 공포,아바도몬/아바도몬 코어
퀀텀몬 1U,라크에 진좌하는 자,퀀텀몬
아폴로몬 1U,광채와 함께 내려온 자,아폴로몬
라스트 에볼루션: 인연 2U,라스트 에볼루션: 인연,라스트 에볼루션: 인연/에오스몬 궁극체
루체몬 1U,현실세계 침공!,루체몬 사탄모드 극의
매혹적인 날개와 정의의 날개 2U,매혹적인 날개와 정의의 날개,알파몬 왕룡검 극의/리리스몬 X 각성
평화를 수호하는 구원자 5U,평화를 수호하는 구원자,듀크몬 크림존모드 각성/오메가몬 머시풀 모드/황제드라몬 팔라딘모드 각성/스사노오몬 극의/샤우트몬X7 슈페리올 모드
황제드라몬 팔라딘모드 1U,디아블로몬을 저지하라!,황제드라몬 팔라딘모드 각성
어둠이 드리운 정의 4U,어둠이 드리운 정의,쿠즈하몬 무녀모드/블룸로드몬/지드밀레니엄몬 각성/에오스몬 궁극체
데이터 3U,중립 성향의 디지몬,쿠즈하몬 무녀모드/샤우트몬X7 슈페리올 모드/퀀텀몬
무녀 1U,잘못된 정화의 의식,쿠즈하몬 무녀모드
던데블 1U,종극의 악마,던데블몬
평화를 수호하는 구원자 4U,평화를 수호하는 구원자,듀크몬 크림존모드 각성/오메가몬 머시풀 모드/황제드라몬 팔라딘모드 각성/샤우트몬X7 슈페리올 모드
디지털월드 수호자 5U,디지털 월드 수호자,듀크몬 크림존모드 각성/오메가몬 머시풀 모드/쿠즈하몬 무녀모드/스사노오몬 극의/샤우트몬X7 슈페리올 모드
오메가몬 X 극의 1U,정의를 지키는 날개,오메가몬X 극의
아바도몬 1U,거대한 파멸의 위기,아바도몬
아바도몬 코어 1U,진정한 모습의 파멸자,아바도몬 코어
듀크몬 1U,빛의 신창과 신검,듀크몬 크림존모드 각성
블룸로드몬 1U,파멸의 칠흑룡을 저지하라!,블룸로드몬
지드밀레니엄몬 1U,"종결, 궁극의 성전!",지드밀레니엄몬 각성
슈페리올 1U,내가! 미래의! 디지몬 킹이다!,샤우트몬X7 슈페리올 모드
디지털월드의 수호자 4U,디지털 월드 수호자,듀크몬 크림존모드 각성/오메가몬 머시풀 모드/쿠즈하몬 무녀모드/샤우트몬X7 슈페리올 모드
스사노오몬 1U,"시간을 뛰어 넘어, 전설의 시작!",스사노오몬 극의
에오스몬 1U,거짓된 네버랜드의 여신,에오스몬 궁극체
머시풀 1U 파피몬쪽,하얀 날개: 우정의 아류류포,오메가몬 머시풀 모드
머시풀 1U 아구몬쪽,하얀 날개: 용기의 우령도,오메가몬 머시풀 모드
황제드라몬 팔라딘모드 1U,강림! 고대의 용전사,황제드라몬 팔라딘모드 각성
머시풀 1U - 혼자,하얀 날개: 슬픔의 결의,오메가몬 머시풀 모드
알파몬 1U,재회,알파몬 왕룡검 극의
